Gene
ABCG8 (64241)
ACCSL (390110)
ACTL7A (10881)
ACTL7B (10880)
ACTL9 (284382)
ADAD1 (132612)
ADAM18 (8749)
ADAM2 (2515)
ADAM20 (8748)
ADAM30 (11085)
ADGRG7 (84873)
ADH7 (131)
AFM (173)
AICDA (57379)
AIPL1 (23746)
ALPG (251)
ALPI (248)
ALX3 (257)
ANKRD30A (91074)
ANTXRL (195977)
APOA4 (337)
APOBEC1 (339)
APOF (319)
AQP8 (343)
ARGFX (503582)
ART1 (417)
ASB17 (127247)
ASIC5 (51802)
ASZ1 (136991)
ATOH1 (474)
ATP4B (496)
ATP6V1G3 (127124)
B3GNT6 (192134)
BANF2 (140836)
BARHL1 (56751)
BIRC8 (112401)
BMP10 (27302)
BPIFA1 (51297)
BPIFA3 (128861)
BPIFB3 (359710)
BPIFB6 (128859)
BPIFC (254240)
BRDT (676)
BSND (7809)
C10orf113 (387638)
C10orf120 (399814)
C10orf53 (282966)
C11orf40 (143501)
C12orf40 (283461)
C16orf78 (123970)
C17orf78 (284099)
C1orf146 (388649)
C20orf173 (140873)
C2orf83 (56918)
C8A (731)
C8B (732)
C8orf86 (389649)
CABP2 (51475)
CABP5 (56344)
CABS1 (85438)
CACNG2 (10369)
CACNG3 (10368)
CACNG5 (27091)
CATSPER4 (378807)
CBLIF (2694)
CCDC172 (374355)
CCDC83 (220047)
CCKAR (886)
CCL1 (6346)
CCT8L2 (150160)
CD200R1L (344807)
CDCP2 (200008)
CDX2 (1045)
CEACAM7 (1087)
CELA2A (63036)
CELA3A (10136)
CELA3B (23436)
CER1 (9350)
CETN1 (1068)
CFHR2 (3080)
CFHR5 (81494)
CHAT (1103)
CHRNA6 (8973)
CHRNB3 (1142)
CLCA1 (1179)
CLDN17 (26285)
CLEC2A (387836)
CLEC3A (10143)
CLEC6A (93978)
CLRN1 (7401)
CNBD1 (168975)
CNGB3 (54714)
CNPY1 (285888)
CNTNAP5 (129684)
COL20A1 (57642)
COX7B2 (170712)
