Unnamed: 0,file,ref_number,ref_text,doi,doi_url,titleDoi,firstAuthDoi
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--KRT82,[1],"Schweizer J, Bowden PE, Coulombe PA, et al. 2006. J Cell Biol. New consensus nomenclature for mammalian keratins.",10.1083/jcb.200603161,https://doi.org/10.1083/jcb.200603161,New consensus nomenclature for mammalian keratins,Schweizer
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--KRT82,[2],"Coulombe PA, Omary MB. 2002. Nat Rev Mol Cell Biol. 'Hard' and 'soft' principles defining the structure, function and regulation of keratin intermediate filaments.",10.1016/s0955-0674(01)00301-5,https://doi.org/10.1016/s0955-0674(01)00301-5,"‘Hard’ and ‘soft’ principles defining the structure, function and regulation of keratin intermediate filaments",Coulombe
2,experiments/gene_essentiality_cancer/ai_messages/high_complexity--KRT82,[3],"Langbein L, Rogers MA, Winter H, et al. 2001. J Biol Chem. The catalog of human hair keratins. I. Expression of the nine type I members in the hair follicle.",10.1074/jbc.m103305200,https://doi.org/10.1074/jbc.m103305200,The Catalog of Human Hair Keratins,Langbein
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IL12B,[1],Trinchieri G. 2003. Nature Reviews Immunology. Interleukin-12 and the regulation of innate resistance and adaptive immunity.,10.1038/nri1001,https://doi.org/10.1038/nri1001,Interleukin-12 and the regulation of innate resistance and adaptive immunity,Trinchieri
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IL12B,[2],"Vignali DA, Kuchroo VK. 2012. Nature Immunology. IL-12 family cytokines: immunological playmakers.",10.1038/ni.2366,https://doi.org/10.1038/ni.2366,IL-12 family cytokines: immunological playmakers,Vignali
2,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IL12B,[3],"Colombo MP, Trinchieri G. 2002. Nature Reviews Cancer. Interleukin-12 in anti-tumor immunity and immunotherapy.",10.1016/s1359-6101(01)00032-6,https://doi.org/10.1016/s1359-6101(01)00032-6,Interleukin-12 in anti-tumor immunity and immunotherapy,Colombo
3,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IL12B,[4],"Teng MW, et al. 2015. Nature Reviews Drug Discovery. Targeting IL-12 and IL-23 cytokines: from bench to bedside.",10.1016/j.ddstr.2006.08.004,https://doi.org/10.1016/j.ddstr.2006.08.004,Targeting the p40 cytokines interleukin (IL)-12 and IL-23 in Crohn's disease,Veldman
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMB7,[1],"Tomko RJ Jr, Hochstrasser M. 2013. Molecular Biology and Evolution. Molecular architecture and assembly of the eukaryotic proteasome.",10.1146/annurev-biochem-060410-150257,https://doi.org/10.1146/annurev-biochem-060410-150257,Molecular Architecture and Assembly of the Eukaryotic Proteasome,Tomko
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMB7,[2],"Ciechanover A, Kwon YT. 2015. Cell Research. Degradation of misfolded proteins in neurodegenerative diseases: therapeutic targets and strategies.",10.1038/emm.2014.117,https://doi.org/10.1038/emm.2014.117,Degradation of misfolded proteins in neurodegenerative diseases: therapeutic targets and strategies,Ciechanover
2,experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMB7,[3],Adams J. 2004. Cancer Cell. The proteasome: a suitable antineoplastic target.,10.1038/nrc1361,https://doi.org/10.1038/nrc1361,The proteasome: a suitable antineoplastic target,Adams
3,experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMB7,[4],"Vogel C, Marcotte EM. 2012. Nature Reviews Cancer. Insights into the regulation of protein abundance from proteomic and transcriptomic analyses.",10.1038/nrg3185,https://doi.org/10.1038/nrg3185,Insights into the regulation of protein abundance from proteomic and transcriptomic analyses,Vogel
4,experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMB7,[5],"Kisselev AF, van der Linden WA, Overkleeft HS. 2012. Chemical Biology. Proteasome inhibitors: an expanding army attacking a unique target.",10.1016/j.chembiol.2012.01.003,https://doi.org/10.1016/j.chembiol.2012.01.003,Proteasome Inhibitors: An Expanding Army Attacking a Unique Target,Kisselev
0,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[1],"Clevers H, Nusse R. 2012. Cell. Wnt/β-Catenin Signaling and Disease.",10.1016/j.cell.2012.05.012,https://doi.org/10.1016/j.cell.2012.05.012,Wnt/β-Catenin Signaling and Disease,Clevers
1,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[2],Compton CC. 2007. J Clin Oncol. Optimal Pathologic Staging: Defining Stage II Disease.,10.1158/1078-0432.ccr-07-1398,https://doi.org/10.1158/1078-0432.ccr-07-1398,Optimal Pathologic Staging: Defining Stage II Disease,Compton
2,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[3],"Franko J, et al. 2012. Ann Surg Oncol. Prognostic Value of Peritoneal Cancer Index and Small Bowel Involvement for Patients With Colorectal Carcinomatosis.",10.1245/s10434-009-0610-6,https://doi.org/10.1245/s10434-009-0610-6,CT Peritoneal Cancer Index in Colorectal Peritoneal Carcinomatosis,Yan
3,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[4],"Van Cutsem E, et al. 2016. Ann Oncol. ESMO consensus guidelines for the management of patients with metastatic colorectal cancer.",10.1093/annonc/mdy355.001,https://doi.org/10.1093/annonc/mdy355.001,Pan-Asian adapted ESMO consensus guidelines for the management of patients with metastatic colorectal cancer ; A JSMO - ESMO initiative,Yoshino
4,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[5],"Longley DB, et al. 2003. Nat Rev Cancer. 5-Fluorouracil: mechanisms of action and clinical strategies.",10.1038/nrc1074,https://doi.org/10.1038/nrc1074,5-Fluorouracil: mechanisms of action and clinical strategies,Longley
5,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[6],"Quail DF, Joyce JA. 2013. Nat Med. Microenvironmental regulation of tumor progression and metastasis.",10.1038/nm.3394,https://doi.org/10.1038/nm.3394,Microenvironmental regulation of tumor progression and metastasis,Quail
6,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[7],"Gajewski TF, et al. 2013. Nat Immunol. Cancer immunotherapy strategies based on overcoming barriers within the tumor microenvironment.",10.1016/j.coi.2013.02.009,https://doi.org/10.1016/j.coi.2013.02.009,Cancer immunotherapy strategies based on overcoming barriers within the tumor microenvironment,Gajewski
