file,ref_number,ref_text,doi,doi_url,titleDoi,firstAuthDoi,author_similarity,title_similarity
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[1],"Clevers H, Nusse R. 2012. Cell. Wnt/β-Catenin Signaling and Disease.",10.1016/j.cell.2012.05.012,https://doi.org/10.1016/j.cell.2012.05.012,Wnt/β-Catenin Signaling and Disease,Clevers,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[2],Compton CC. 2007. J Clin Oncol. Optimal Pathologic Staging: Defining Stage II Disease.,10.1158/1078-0432.ccr-07-1398,https://doi.org/10.1158/1078-0432.ccr-07-1398,Optimal Pathologic Staging: Defining Stage II Disease,Compton,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[3],"Franko J, et al. 2012. Ann Surg Oncol. Prognostic Value of Peritoneal Cancer Index and Small Bowel Involvement for Patients With Colorectal Carcinomatosis.",10.1245/s10434-009-0610-6,https://doi.org/10.1245/s10434-009-0610-6,CT Peritoneal Cancer Index in Colorectal Peritoneal Carcinomatosis,Yan,3,94
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[4],"Van Cutsem E, et al. 2016. Ann Oncol. ESMO consensus guidelines for the management of patients with metastatic colorectal cancer.",10.1093/annonc/mdy355.001,https://doi.org/10.1093/annonc/mdy355.001,Pan-Asian adapted ESMO consensus guidelines for the management of patients with metastatic colorectal cancer ; A JSMO - ESMO initiative,Yoshino,8,84
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[5],"Longley DB, et al. 2003. Nat Rev Cancer. 5-Fluorouracil: mechanisms of action and clinical strategies.",10.1038/nrc1074,https://doi.org/10.1038/nrc1074,5-Fluorouracil: mechanisms of action and clinical strategies,Longley,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[6],"Quail DF, Joyce JA. 2013. Nat Med. Microenvironmental regulation of tumor progression and metastasis.",10.1038/nm.3394,https://doi.org/10.1038/nm.3394,Microenvironmental regulation of tumor progression and metastasis,Quail,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_3,[7],"Gajewski TF, et al. 2013. Nat Immunol. Cancer immunotherapy strategies based on overcoming barriers within the tumor microenvironment.",10.1016/j.coi.2013.02.009,https://doi.org/10.1016/j.coi.2013.02.009,Cancer immunotherapy strategies based on overcoming barriers within the tumor microenvironment,Gajewski,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_13,[1],National Comprehensive Cancer Network. (2021). NCCN Clinical Practice Guidelines in Oncology: Colon Cancer. Version 2.2021.,10.1111/j.1759-7714.2010.00016.x,https://doi.org/10.1111/j.1759-7714.2010.00016.x,"Comparisons between the National Comprehensive Cancer Network (NCCN) non-small-cell lung cancer (NSCLC) Clinical Practice Guidelines (Chinese version), the NCCN original edition, and the European Society for Medical Oncology NSCLC Guidelines in 2009",Xu,2,93
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_13,[2],"Longley, D. B., Harkin, D. P., & Johnston, P. G. (2003). 5-fluorouracil: mechanisms of action and clinical strategies. Nature Reviews Cancer, 3(5), 330-338.",10.1038/nrc1074,https://doi.org/10.1038/nrc1074,5-Fluorouracil: mechanisms of action and clinical strategies,Longley,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_13,[3],"Van Cutsem, E., Cervantes, A., Adam, R., Sobrero, A., Van Krieken, J. H., Aderka, D., ... & Nordlinger, B. (2016). ESMO consensus guidelines for the management of patients with metastatic colorectal cancer. Annals of Oncology, 27(8), 1386-1422.",10.1093/annonc/mdu260,https://doi.org/10.1093/annonc/mdu260,"Metastatic colorectal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up",Van Cutsem,100,65
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_13,[4],"Le, D. T., Uram, J. N., Wang, H., Bartlett, B. R., Kemberling, H., Eyring, A. D., ... & Taube, J. M. (2015). PD-1 blockade in tumors with mismatch-repair deficiency. New England Journal of Medicine, 372(26), 2509-2520.",10.1056/nejmoa1500596,https://doi.org/10.1056/nejmoa1500596,PD-1 Blockade in Tumors with Mismatch-Repair Deficiency,Le,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_13,[5],"Compton, C. C. (2007). Optimal pathologic staging: defining stage II disease. Clinical Cancer Research, 13(22), 6862s-6870s.",10.1158/1078-0432.ccr-07-1398,https://doi.org/10.1158/1078-0432.ccr-07-1398,Optimal Pathologic Staging: Defining Stage II Disease,Compton,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_13,[6],"Franko, J., Shi, Q., Goldman, C. D., Pockaj, B. A., Nelson, G. D., Goldberg, R. M., ... & Alberts, S. R. (2012). Treatment of colorectal peritoneal carcinomatosis with systemic chemotherapy: a pooled analysis of north central cancer treatment group phase III trials N9741 and N9841. Journal of Clinical Oncology, 30(3), 263-267.",10.1200/jco.2011.37.1039,https://doi.org/10.1200/jco.2011.37.1039,Treatment of Colorectal Peritoneal Carcinomatosis With Systemic Chemotherapy: A Pooled Analysis of North Central Cancer Treatment Group Phase III Trials N9741 and N9841,Franko,100,100
experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_13,[7],"Chaffer, C. L., & Weinberg, R. A. (2011). A perspective on cancer cell metastasis. Science, 331(6024), 1559-1564.",10.1126/science.1203543,https://doi.org/10.1126/science.1203543,A Perspective on Cancer Cell Metastasis,Chaffer,100,100
