file,ref_number,ref_text,doi,doi_url,titleDoi,firstAuthDoi,author_similarity,title_similarity
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KIF2B,[1],"Mennella, V., Rogers, G. C., Rogers, S. L., Buster, D. W., Vale, R. D., & Sharp, D. J. (2005). Molecular Biology of the Cell, 16(7), 3195-3209. Functionally distinct kinesin-13 family members cooperate to regulate microtubule dynamics during interphase.",10.1038/ncb1222,https://doi.org/10.1038/ncb1222,Functionally distinct kinesin-13 family members cooperate to regulate microtubule dynamics during interphase,Mennella,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KIF2B,[2],"Hirokawa, N., Noda, Y., Tanaka, Y., & Niwa, S. (2009). Nature Reviews Molecular Cell Biology, 10(10), 682-696. Kinesin superfamily motor proteins and intracellular transport.",10.1038/nrm2774,https://doi.org/10.1038/nrm2774,Kinesin superfamily motor proteins and intracellular transport,Hirokawa,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KIF2B,[3],"Zhang, Y., Wang, J., & Wang, Z. (2018). Oncology Letters, 15(6), 8749-8754. KIF2B, a novel oncogene, promotes cell proliferation and migration in hepatocellular carcinoma.",10.3892/ol.2018.9843,https://doi.org/10.3892/ol.2018.9843,miR-21 promotes cell migration and invasion of hepatocellular carcinoma by targeting KLF5,Wang,100,74
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KIF2B,[4],"Hart, T., & Moffat, J. (2016). Nature Reviews Genetics, 17(5), 300-312. BAGEL: a computational framework for identifying essential genes from pooled library screens.",10.1186/s12859-016-1015-8,https://doi.org/10.1186/s12859-016-1015-8,BAGEL: a computational framework for identifying essential genes from pooled library screens,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KIF2B,[5],"Meyers, R. M., Bryan, J. G., McFarland, J. M., Weir, B. A., Sizemore, A. E., Xu, H., ... & Tsherniak, A. (2017). Cell, 168(1-2), 890-903. Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells.",10.3410/f.732049442.793551364,https://doi.org/10.3410/f.732049442.793551364,Faculty Opinions recommendation of Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells.,Smedley,6,88
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KIF2B,[6],"Shalem, O., Sanjana, N. E., & Zhang, F. (2015). Nature Reviews Genetics, 16(3), 167-178. High-throughput functional genomics using CRISPR-Cas9.",10.1038/nrg3899,https://doi.org/10.1038/nrg3899,High-throughput functional genomics using CRISPR–Cas9,Shalem,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--DCTN3,[1],"Schroer, T.A. (2004) Traffic. Dynactin.",10.1016/b0-12-443710-9/00187-3,https://doi.org/10.1016/b0-12-443710-9/00187-3,Dynactin,Schroer,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--DCTN3,[2],"Zhang, Y. et al. (2015) Oncotarget. Overexpression of DCTN3 promotes cell proliferation in breast cancer.",10.18632/oncotarget.8119,https://doi.org/10.18632/oncotarget.8119,MicroRNA-1229 overexpression promotes cell proliferation and tumorigenicity and activates Wnt/β-catenin signaling in breast cancer,Tan,6,75
experiments/gene_essentiality_cancer/ai_messages/high_complexity--DCTN3,[3],"Winzeler, E.A. et al. (1999) Science. Functional Characterization of the S. cerevisiae Genome by Gene Deletion and Parallel Analysis.",10.1002/047084664x.ch14,https://doi.org/10.1002/047084664x.ch14,Functional Analysis of the Yeast Genome by Precise Deletion and Parallel Phenotypic Characterization,Winzeler,100,86
experiments/gene_essentiality_cancer/ai_messages/high_complexity--DCTN3,[4],"Hart, T. et al. (2015) Cell. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.",10.3410/f.725961145.793520856,https://doi.org/10.3410/f.725961145.793520856,Faculty Opinions recommendation of High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.,Kumar,5,89
