file,ref_number,ref_text,doi,doi_url,titleDoi,firstAuthDoi,author_similarity,title_similarity
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_immunoparalysis,[1],"Singer M, Deutschman CS, Seymour CW, et al. 2016. JAMA. The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).",10.1001/jama.2016.0289,https://doi.org/10.1001/jama.2016.0289,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock,Shankar-Hari,13,53
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_immunoparalysis,[2],"Arosio P, Ingrassia R, Cavadini P. 2009. Biochim Biophys Acta. Ferritins: A family of molecules for iron storage, antioxidation and more.",10.1016/j.bbagen.2008.09.004,https://doi.org/10.1016/j.bbagen.2008.09.004,"Ferritins: A family of molecules for iron storage, antioxidation and more",Arosio,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_immunoparalysis,[3],"Weiss G, Goodnough LT. 2005. N Engl J Med. Anemia of Chronic Disease.",10.1056/nejmra041809,https://doi.org/10.1056/nejmra041809,Anemia of Chronic Disease,Weiss,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_immunoparalysis,[4],"Ziegler-Heitbrock L, Ancuta P, Crowe S, et al. 2010. J Leukoc Biol. Nomenclature of monocytes and dendritic cells in blood.",10.1182/blood-2010-02-258558,https://doi.org/10.1182/blood-2010-02-258558,Nomenclature of monocytes and dendritic cells in blood,Ziegler-Heitbrock,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_immunoparalysis,[5],"Monneret G, Lepape A, Voirin N, et al. 2006. Crit Care Med. Persisting low monocyte human leukocyte antigen-DR expression predicts mortality in septic shock.",10.1007/s00134-006-0204-8,https://doi.org/10.1007/s00134-006-0204-8,Persisting low monocyte human leukocyte antigen-DR expression predicts mortality in septic shock,Monneret,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_immunoparalysis,[6],"Hotchkiss RS, Monneret G, Payen D. 2013. Nat Rev Immunol. Sepsis-induced immunosuppression: from cellular dysfunctions to immunotherapy.",10.1038/nri3552,https://doi.org/10.1038/nri3552,Sepsis-induced immunosuppression: from cellular dysfunctions to immunotherapy,Hotchkiss,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_immunoparalysis,[7],"Litton E, Xiao J, Ho KM. 2013. JAMA. Safety and efficacy of intravenous iron therapy in reducing requirement for allogeneic blood transfusion: systematic review and meta-analysis of randomised clinical trials.",10.1136/bmj.f4822,https://doi.org/10.1136/bmj.f4822,Safety and efficacy of intravenous iron therapy in reducing requirement for allogeneic blood transfusion: systematic review and meta-analysis of randomised clinical trials,Litton,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_hyperinflammation,[1],"Singer M, Deutschman CS, Seymour CW, et al. 2016. JAMA. The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).",10.1001/jama.2016.0289,https://doi.org/10.1001/jama.2016.0289,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock,Shankar-Hari,13,53
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_hyperinflammation,[2],"Kell DB, Pretorius E. 2014. Front Pharmacol. Serum ferritin is an important inflammatory disease marker, as it is mainly a leakage product from damaged cells.",10.1039/c3mt00347g,https://doi.org/10.1039/c3mt00347g,"Serum ferritin is an important inflammatory disease marker, as it is mainly a leakage product from damaged cells",Kell,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_hyperinflammation,[3],Ziegler-Heitbrock L. 2007. Immunobiology. The CD14+ CD16+ blood monocytes: their role in infection and inflammation.,10.1189/jlb.0806510,https://doi.org/10.1189/jlb.0806510,The CD14+ CD16+ blood monocytes: their role in infection and inflammation,Ziegler-Heitbrock,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_hyperinflammation,[4],"Docke WD, Randow F, Syrbe U, et al. 1997. Nat Med. Monocyte deactivation in septic patients: restoration by IFN-gamma treatment.",10.1038/nm0697-678,https://doi.org/10.1038/nm0697-678,Monocyte deactivation in septic patients: Restoration by IFN-γ treatment,Döcke,6,99
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_hyperinflammation,[5],"Rhodes A, Evans LE, Alhazzani W, et al. 2017. Intensive Care Med. Surviving Sepsis Campaign: International Guidelines for Management of Sepsis and Septic Shock: 2016.",10.1007/s00134-008-1089-5,https://doi.org/10.1007/s00134-008-1089-5,Comment on “Surviving Sepsis Campaign: International guidelines for management of severe sepsis and septic shock: 2008” by Dellinger et al.,Spoelstra - de Man,17,83
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_hyperinflammation,[6],"Cecconi M, De Backer D, Antonelli M, et al. 2018. Intensive Care Med. Consensus on circulatory shock and hemodynamic monitoring. Task force of the European Society of Intensive Care Medicine.",10.1007/s00134-014-3525-z,https://doi.org/10.1007/s00134-014-3525-z,Consensus on circulatory shock and hemodynamic monitoring. Task force of the European Society of Intensive Care Medicine,Cecconi,100,100
experiments/sepsis_treatment/ai_messages/high_complexity--sepsis_hyperinflammation,[7],"Annane D, Bellissant E, Bollaert PE, et al. 2009. JAMA. Corticosteroids in the treatment of severe sepsis and septic shock in adults: a systematic review.",10.1001/jama.2009.815,https://doi.org/10.1001/jama.2009.815,Corticosteroids in the Treatment of Severe Sepsis and Septic Shock in Adults,Annane,100,100
