file,ref_number,ref_text,doi,doi_url,titleDoi,firstAuthDoi,author_similarity,title_similarity
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[1],"Akramiene D, Kondrotas A, Didziapetriene J, Kevelaitis E. 2007. Effects of beta-glucans on the immune system. Medicina (Kaunas). 43(8):597-606.",10.3390/medicina43080076,https://doi.org/10.3390/medicina43080076,Effects of ß-glucans on the immune system,Akramienė,11,100
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[2],"Beutler B. 2000. Endotoxin, toll-like receptor 4, and the afferent limb of innate immunity. Curr Opin Microbiol. 3(1):23-28.",10.1016/s1369-5274(99)00046-6,https://doi.org/10.1016/s1369-5274(99)00046-6,"Endotoxin, Toll-like receptor 4, and the afferent limb of innate immunity",Beutler,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[3],"Takeuchi O, Akira S. 2010. Pattern recognition receptors and inflammation. Cell. 140(6):805-820.",10.1016/j.cell.2010.01.022,https://doi.org/10.1016/j.cell.2010.01.022,Pattern Recognition Receptors and Inflammation,Takeuchi,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[4],"Kawai T, Akira S. 2011. Toll-like receptors and their crosstalk with other innate receptors in infection and immunity. Immunity. 34(5):637-650.",10.1016/j.immuni.2011.05.006,https://doi.org/10.1016/j.immuni.2011.05.006,Toll-like Receptors and Their Crosstalk with Other Innate Receptors in Infection and Immunity,Kawai,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[5],Dinarello CA. 2009. Immunological and inflammatory functions of the interleukin-1 family. Annu Rev Immunol. 27:519-550.,10.1146/annurev.immunol.021908.132612,https://doi.org/10.1146/annurev.immunol.021908.132612,Immunological and Inflammatory Functions of the Interleukin-1 Family,Dinarello,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[6],"Chan GC, Chan WK, Sze DM. 2009. The effects of beta-glucan on human immune and cancer cells. J Hematol Oncol. 2:25.",10.1186/1756-8722-2-25,https://doi.org/10.1186/1756-8722-2-25,The effects of β-glucan on human immune and cancer cells,Chan,100,98
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[7],"Serbina NV, Pamer EG. 2006. Monocyte emigration from bone marrow during bacterial infection requires signals mediated by chemokine receptor CCR2. Nat Immunol. 7(3):311-317.",10.1038/ni1309,https://doi.org/10.1038/ni1309,Monocyte emigration from bone marrow during bacterial infection requires signals mediated by chemokine receptor CCR2,Serbina,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[8],Nathan C. 2006. Neutrophils and immunity: challenges and opportunities. Nat Rev Immunol. 6(3):173-182.,10.1038/nri1785,https://doi.org/10.1038/nri1785,Neutrophils and immunity: challenges and opportunities,Nathan,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_betaglucan,[9],"Vivier E, Tomasello E, Baratin M, Walzer T, Ugolini S. 2008. Functions of natural killer cells. Nat Immunol. 9(5):503-510.",10.1038/ni1582,https://doi.org/10.1038/ni1582,Functions of natural killer cells,Vivier,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_LPS,[1],"Raetz CR, Whitfield C. 2002. Annual Review of Biochemistry. Lipopolysaccharide endotoxins.",10.1146/annurev.biochem.71.110601.135414,https://doi.org/10.1146/annurev.biochem.71.110601.135414,Lipopolysaccharide Endotoxins,Raetz,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_LPS,[2],"Pålsson-McDermott EM, O'Neill LA. 2004. Trends in Immunology. Signal transduction by the lipopolysaccharide receptor, Toll-like receptor-4.",10.1111/j.1365-2567.2004.01976.x,https://doi.org/10.1111/j.1365-2567.2004.01976.x,"Signal transduction by the lipopolysaccharide receptor, Toll‐like receptor‐4",Pålsson‐McDermott,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_LPS,[3],"Lu YC, Yeh WC, Ohashi PS. 2008. Annual Review of Immunology. LPS/TLR4 signal transduction pathway.",10.1016/j.cyto.2008.01.006,https://doi.org/10.1016/j.cyto.2008.01.006,LPS/TLR4 signal transduction pathway,Lu,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_LPS,[4],"Biswas SK, Lopez-Collazo E. 2009. Immunology Letters. Endotoxin tolerance: new mechanisms, molecules and clinical significance.",10.1016/j.it.2009.07.009,https://doi.org/10.1016/j.it.2009.07.009,"Endotoxin tolerance: new mechanisms, molecules and clinical significance",Biswas,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_LPS,[5],"Foster SL, Medzhitov R. 2009. Nature Immunology. Gene-specific control of the TLR-induced inflammatory response.",10.1016/j.clim.2008.08.015,https://doi.org/10.1016/j.clim.2008.08.015,Gene-specific control of the TLR-induced inflammatory response,Foster,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_LPS,[6],"Wang J, Oberley-Deegan R, Wang S, Nikrad M, Funk CJ, Hartshorn KL, Mason RJ. 2009. Journal of Immunology. Differentiated human alveolar type II cells secrete antiviral IL-29 (IFN-λ1) in response to influenza A infection.",10.4049/jimmunol.182.3.1296,https://doi.org/10.4049/jimmunol.182.3.1296,Differentiated Human Alveolar Type II Cells Secrete Antiviral IL-29 (IFN-λ1) in Response to Influenza A Infection,Wang,100,100
experiments/trained_immunity/ai_messages/high_complexity--training_LPS,[7],"Shirey KA, Lai W, Scott AJ, Lipsky M, Mistry P, Pletneva LM, Karp CL, McAlees J, Gioannini TL, Weiss J, Chen WH, Ernst RK, Rossignol DP, Gusovsky F, Blanco JC, Vogel SN. 2013. Nature. The TLR4 antagonist Eritoran protects mice from lethal influenza infection.",10.1038/nature12118,https://doi.org/10.1038/nature12118,The TLR4 antagonist Eritoran protects mice from lethal influenza infection,Shirey,100,100
experiments/trained_immunity/ai_messages/high_complexity--tolerance_LPS,[1],"Raetz CR, Whitfield C. 2002. Annual Review of Biochemistry. Lipopolysaccharide endotoxins.",10.1146/annurev.biochem.71.110601.135414,https://doi.org/10.1146/annurev.biochem.71.110601.135414,Lipopolysaccharide Endotoxins,Raetz,100,100
experiments/trained_immunity/ai_messages/high_complexity--tolerance_LPS,[2],"Lu YC, Yeh WC, Ohashi PS. 2008. Immunity. LPS/TLR4 signal transduction pathway.",10.1016/j.cyto.2008.01.006,https://doi.org/10.1016/j.cyto.2008.01.006,LPS/TLR4 signal transduction pathway,Lu,100,100
experiments/trained_immunity/ai_messages/high_complexity--tolerance_LPS,[3],Mogensen TH. 2009. Clinical Microbiology Reviews. Pathogen recognition and inflammatory signaling in innate immune defenses.,10.1128/cmr.00046-08,https://doi.org/10.1128/cmr.00046-08,Pathogen Recognition and Inflammatory Signaling in Innate Immune Defenses,Mogensen,100,100
experiments/trained_immunity/ai_messages/high_complexity--tolerance_LPS,[4],"Biswas SK, Lopez-Collazo E. 2009. Immunological Reviews. Endotoxin tolerance: new mechanisms, molecules and clinical significance.",10.1016/j.it.2009.07.009,https://doi.org/10.1016/j.it.2009.07.009,"Endotoxin tolerance: new mechanisms, molecules and clinical significance",Biswas,100,100
experiments/trained_immunity/ai_messages/high_complexity--tolerance_LPS,[5],"Yao Z, Mates JM, Cheplowitz AM, Hammer LP, Maiseyeu A, Phillips GS, Wewers MD, Rajaram MV, Robinson JM, Anderson CL, Ganesan LP. 2016. Journal of Immunology. Blood-borne lipopolysaccharide is rapidly eliminated by liver sinusoidal endothelial cells via high-density lipoprotein.",10.4049/jimmunol.1600702,https://doi.org/10.4049/jimmunol.1600702,Blood-Borne Lipopolysaccharide Is Rapidly Eliminated by Liver Sinusoidal Endothelial Cells via High-Density Lipoprotein,Yao,100,100
experiments/trained_immunity/ai_messages/high_complexity--tolerance_LPS,[6],"Wang J, Li R, Peng Z, Hu B, Rao X, Li J. 2018. Frontiers in Immunology. Pathogen recognition receptors and endotoxin tolerance.",10.1016/j.dci.2014.04.018,https://doi.org/10.1016/j.dci.2014.04.018,"Pathogen recognition receptors in channel catfish: IV. Identification, phylogeny and expression analysis of peptidoglycan recognition proteins",Sun,5,54
